accountType,accountId,guestId,amperityId,mLifeId,mgmRewardsTierCurrent,expects,numberOfAccounts
patron,1465073,111480364,1f9c4c5b-cd33-309e-a33b-9c671ee3fc0c,65391027,Sapphire,1,3
patron,66594219,4336870,1feaeff1-a221-3250-9711-b05a50e0fbdf,66594219,Sapphire,1,1
opera,893697584,142207552,175de982-dd88-3270-a96a-8fc2bdf2d8bc,95725918,Sapphire,1,3
patron,55640375,116501998,15bf1123-d54e-308b-bf5a-8eb9e6905e78,55640375,Sapphire,1,1
patron,53470167,51494551,0b804cfa-7926-39e9-b0e2-9d5dd8e4f695,53470167,Sapphire,1,1
patron,76029988,21144647,15db3ffd-a313-385a-94ef-47e33a4e06ba,76805304,Sapphire,1,7
patron,64143740,34377761,15dd94e7-c6f8-31b6-8cc2-3e2aaebd7855,64143740,Sapphire,1,1
patron,60796269,17771377,175fff52-2786-34e7-8716-0ee2b338a936,60796269,Sapphire,1,1
patron,95908506,144282553,1ff51b22-8fed-36dd-9177-eea1f9592330,95908506,Sapphire,1,2
patron,49928662,69002976,1ff6e3d1-65d1-39d5-abaf-e62c14c8509f,49928662,null,1,2
customers,00u9mt6k8ys1ffzH61t7,70864124,1f9daf78-e5ae-31f9-a6e7-94a1c963f281,77718337,Sapphire,1,4
customers,00urd1vmv2pZIwK3k1t7,165204700,15e10117-a5b4-32de-a271-22bcca4992f0,99364124,Sapphire,1,4
customers,00ubglayqcZaLLqjU1t7,9134321,1f9e219d-6aec-3418-a679-8d8a2cc8b52b,79022065,Sapphire,1,5
patron,42424946,19823078,15e2d182-0d56-3dde-bfb1-68e8d8c4d006,42424946,Sapphire,1,3
opera,808535587,68416191,1fa1587c-53d6-36fa-9f6c-5de246da9619,73458373,Pearl,1,19
patron,90999734,23094206,19eb1e98-100e-33cc-bd48-bdac814c66d9,90999734,Sapphire,1,2
patron,71421579,4326167,19ebb011-59c5-3381-8d96-68810ed12eb6,71421579,Sapphire,1,1
patron,60034412,91814166,19ef1b3e-9662-3ed5-9d94-297e256f9512,60034412,Sapphire,1,1
patron,46530878,158975907,120540e0-e30e-392b-ac66-3630197dad36,46530878,null,1,5
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlciQLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBji9uTsHww,147863986,1ea84951-9311-3be5-844b-5949d710ee94,96961668,Sapphire,1,4
patron,70669495,119588460,1b1144a6-f6dd-36f2-a8c8-5764afc5faac,70669495,Sapphire,1,2
patron,40506758,122360189,1b15e7b0-bc56-3567-9f1a-061ae5dc7854,40506758,null,1,4
patron,59618965,87976464,1fae9c26-bdae-3919-b646-fc967a6ae508,59618965,Sapphire,1,1
patron,33008947,75923564,1cc59159-d172-3f88-a82f-95f2b301ad44,33008947,Sapphire,1,1
patron,76956330,85408205,2001bd8d-8ea8-3393-8a10-19fc5c59cbba,76956330,Sapphire,1,5
patron,80240436,130896637,1fb29ac3-ca65-357c-b785-bff7930ea4ff,80240436,Sapphire,1,1
patron,51778509,57285806,1eaeab6b-4ba0-39d2-a7cf-e680da9738d2,51778509,Sapphire,1,2
patron,68837359,89005899,1eb22a5a-249a-39ee-95bb-389733af7cde,68837359,Sapphire,1,1
patron,19856943,23755363,1757a957-7ff5-34ef-952f-0f48936a358c,74605846,Sapphire,1,5
betmgm,586465654,155516033,1757d34c-f549-3cb7-9e80-343133abe861,98960375,Sapphire,1,2
patron,17936045,57095812,15e80914-2ad5-3f3e-bf96-78ae7c72e139,17936045,null,1,1
patron,97614965,149745462,1ed3a41d-5623-3bd3-ae0f-c30f713b3cd1,97614965,Sapphire,1,1
patron,31001583,36702430,1ed5dfc8-b094-3bd8-95a8-6c2512c8501e,73733069,Sapphire,1,2
patron,2637212,40583856,1fc78b98-22a0-36a2-8043-e71582dfafa7,7185077,null,1,3
