guestId,amperityId,expects,mLifeId,mgmRewardsTierCurrent,numberOfAccounts
107070007,933f5ae8-76ff-3d2a-99a2-0601e7e83b26,1,63752798,Sapphire,5
15225185,0108f68a-89aa-3b83-86f7-c65d3a11e948,1,63183896,Sapphire,2
15275547,8512ce80-24aa-3ad6-9872-404420c57f78,1,61512490,Sapphire,2
15279683,34670e02-d218-3bba-8a65-77e8ee0ab324,1,43058992,null,2
13258176,5578b369-4312-392c-a004-d7ba195f36d7,1,67719293,Sapphire,1
13267557,0aa764b9-377b-3e28-adf4-4e038efa5aaa,1,67044478,Sapphire,1
13275867,4dc534ff-6ff5-3e41-a6b1-6a0b4c5d7a37,1,2714987,Sapphire,1
11465150,227723e8-c87a-3f3c-9772-00d8f173fd54,1,42820892,null,6
122918278,73ac1a43-c87a-35d8-aec9-4211e235347b,1,47571650,Sapphire,1
9928793,d02ac015-b358-31a9-8c68-3efe886a8536,1,49851743,Sapphire,8
11520531,5c6d9c72-7575-31ec-a9cc-bdb5b5a82618,1,44374920,null,1
11527613,55ab3091-889d-3ab0-b008-eb8feba6de0c,1,45682584,null,1
125765515,cb177047-483d-3e4b-b057-95aca7fad84d,1,81818151,Sapphire,1
11540493,a93647af-a511-3e56-8696-69b0df7170cc,1,68147885,Sapphire,1
2766648,448f665a-39c1-3780-978b-a6c9aa404cb0,1,21082184,null,3
15330597,329d202d-5290-3a68-bc2a-7c27ee57c7de,1,85539128,Sapphire,1
2770214,4d33e4ca-9193-3598-8343-566ad68484df,1,10356247,null,3
15335246,c8ca0bf1-7f54-3790-9c42-acfb73fc5738,1,56319806,Sapphire,1
122842647,bd28752f-c263-34ff-a7a3-0293f9dd6bfa,1,64480433,Sapphire,1
109298183,8dac369d-8b4e-3978-bc59-c54860cb03d0,1,53842462,Sapphire,1
109304986,77f6f2f0-7ef0-32d1-9a4e-3ae60f4e8746,1,30745612,null,1
122855099,fd8bbdd5-c980-324e-9167-e37ccab3417c,1,61009654,Sapphire,1
13393629,9ef870fa-2604-342a-925e-f92baf19dbde,1,34092436,Sapphire,6
13397970,99ef466e-7a92-3e63-8f5b-e1ecd6d484ac,1,59588359,Sapphire,1
2257626,83803be3-6d2c-3453-8048-1ed21176c3b8,1,57654634,Sapphire,1
119069619,c20bc587-c087-3a38-a2dc-aa6e55bdf003,1,63916633,Sapphire,1
12094021,eddbe934-0347-3936-a70c-f559a12aa973,1,84854543,Sapphire,1
12123452,83c1f033-71c5-3a3e-8cba-59b7dd50ed26,1,65946403,Sapphire,1
2369827,2155f2b4-2b06-3434-957e-1f1551558341,1,53803366,Sapphire,1
13437801,493b9bb8-7b96-3508-b387-5fa984208257,1,4578480,Sapphire,3
131593887,ac27cede-c21c-3eb0-9f94-588a37a3e7bf,1,80350882,Sapphire,4
13452475,6dcea589-b1c6-33b3-bead-5a97d55b5775,1,54217020,Sapphire,3
11634010,ba1ef391-6b8e-3489-9cee-5fa5f3c6a3c1,1,58559606,Sapphire,3
110707386,53050f98-0d66-3d45-b3a5-459221ca6692,1,21163749,Sapphire,9
124382356,a00611da-10b8-3d59-827c-9ea02b749239,1,53650810,Sapphire,1
124389429,4c8ac0f3-baa3-3d90-866a-32e05895f9c0,1,66522019,Sapphire,1
11282141,46d54b02-3f50-3de7-8b6d-14f76bcbeb3f,1,2253127,Sapphire,4
119099973,cc2b1207-224f-34d0-a393-37413ebc93d3,1,3291784,Gold,21
124433314,df04911c-87d5-36e9-9fe3-b17b207a671e,1,90957479,Sapphire,1
124589366,177499bd-b013-3f6c-8e17-32bb3c9b503a,1,52627645,Sapphire,1
11154169,2c01b865-86d7-33a0-90b3-cbe8e5830630,1,75629716,Sapphire,5
124443747,aa7f3fd1-881d-3c66-b1d1-eed0bfa13e5f,1,65956513,Sapphire,1
11320046,6cea93e2-c7c8-3549-914c-1454fca0d5a9,1,44447371,null,3
119175214,72438b05-da45-320f-9f62-e9e0e4392d19,1,44971612,Sapphire,3
124615536,319f7d86-4c7b-3110-8d9e-ecebd1349ea5,1,82034233,Sapphire,1
124502550,770d2197-9666-39f3-8b21-3a1359149a0b,1,81042086,Sapphire,1
124540466,43c441b1-31b7-3ae1-8ac3-571d51b164d2,1,69152756,Sapphire,2
13536646,70419897-5328-3355-9d4d-81c51dfa3adc,1,79499243,Sapphire,5
11196587,9629910a-28bf-3b98-9636-43d122034bf5,1,43724717,null,1
13560761,560b2ff3-dcdd-34e7-821c-5dfb5c36f5df,1,65374267,Sapphire,2
114552077,2ce45f20-7a22-38cf-8329-15b5dd229d8a,1,58906364,Sapphire,1
11208700,75532b49-441b-3e8f-b009-b68f4e1128bf,1,66103318,Sapphire,5
107125213,fa462550-488a-3f74-bb18-1a81d46c7f9a,1,68299952,Pearl,10
107123883,874d0dc2-d8e7-31c3-9042-daef9231e6f7,1,76255081,Sapphire,1
13568775,d7da8688-53eb-329c-a8eb-7bc1d53502c5,1,10644718,null,3
12179692,1468d2f0-5d99-3efb-9e8c-948ec6ebc028,1,67553993,Sapphire,1
11397581,7c3107b4-d403-3849-85da-11bc8c55ca80,1,74398505,Sapphire,5
121726276,39337b78-4f4b-337d-87ef-c8bff9b21eaa,1,47490776,Sapphire,1
13597156,d3ebb5c2-b02d-33f1-87a1-2d3482cbe550,1,11883906,null,2
13208474,f54693a2-f1ee-3bd4-83d8-ee2bc2e1139a,1,67163725,Sapphire,1
13602035,1df72011-7ae6-3c35-a2c8-40aedb5c1e00,1,63358738,Sapphire,11
13602061,84bdcd75-bb97-3c5a-a119-953d910903a2,1,81763218,Sapphire,1
13613806,52fa2512-f977-305e-8f5e-30425f6dd77f,1,66295366,Sapphire,1
13232542,2d2f4e5d-e8cd-3bba-8bc0-8582f641b8d5,1,30424179,null,1
121958275,7a44bcc8-7c3b-32e5-bd2d-4bc1e8f97b34,1,12738306,null,2
