accountType,accountId,guestId,mLifeId,mgmRewardsTierCurrent,stateCd
patron,80860316,133985790,94118668,Sapphire,NJ
customers,00uap8hoGKyKya82Q1t5,49519196,41970288,Sapphire,KN
patron,49119858,91351986,49119858,Sapphire,FL
patron,67720870,8315323,67720870,Sapphire,null
patron,58790035,48973679,58790035,Sapphire,null
patron,60927451,109351696,60927451,Sapphire,AB
patron,93842317,136676548,93842317,Sapphire,PA
customers,00u3liw481zZrfifv1t7,109666292,50854035,Sapphire,CA
patron,59105558,104723426,59105558,Sapphire,null
patron,97197945,147629542,97197945,Sapphire,UT
patron,51743836,79286487,51743836,Sapphire,TX
patron,90498419,105806656,90498419,Sapphire,NY
patron,71458175,71214194,71458175,Sapphire,null
patron,97925640,151624999,97925640,Sapphire,IN
customers,00u8bh7eiyWGpaDP31t7,44945719,76914025,Sapphire,ME
archtics,7587198,74114426,20049747,Sapphire,CT
patron,8085339,93688663,8085339,Sapphire,IL
patron,98291475,148723093,98291475,Sapphire,TX
patron,54309374,86314138,54676339,Sapphire,MI
patron,73829241,2178923,73829241,Sapphire,MI
patron,69219830,124837769,69219830,Sapphire,CA
opera,161681095,71401475,53144919,Sapphire,UT
patron,70044710,35479557,70044710,Sapphire,null
patron,78335121,46828859,78335121,Sapphire,WI
patron,71998371,18668595,85434349,Sapphire,PA
patron,69336230,55550393,69336230,Sapphire,null
patron,64621219,59363560,64621219,Sapphire,LA
opera,244643117,23568698,52764130,Sapphire,--
opera,812396321,23370813,79552924,Sapphire,NH
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlcicLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBiAgKTVke_UCww,87806042,69397543,Pearl,NY
patron,43416795,82335853,43416795,Sapphire,MI
opera,394873779,64579921,60347453,Sapphire,IA
archtics,12674809,61305009,66902358,Sapphire,NY
tcolv_patron,1798552,43384182,61061342,Sapphire,null
patron,90013089,42028216,90013089,Sapphire,NY
patron,96102598,93537407,96102598,Sapphire,WI
tcolv_patron,2299640,106192350,71082109,Pearl,MD
patron,51300453,29041674,51300453,Sapphire,MI
patron,78078183,118467373,78078183,Sapphire,CT
patron,77654880,48572565,77654880,Sapphire,CA
opera,805328522,24562983,67933668,Sapphire,AR
patron,61352763,112131309,61352763,Sapphire,null
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlcicLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBiAgOzXo-X3CQw,19950389,58669428,Sapphire,NC
patron,83961263,39387307,83961263,Sapphire,PA
archtics,23619553,100895502,97731000,Sapphire,FL
patron,81507440,25808273,81507440,Sapphire,null
patron,62648884,78376436,62648884,Sapphire,CA
opera,890553274,137840267,94558197,Sapphire,CA
patron,60991277,186120091,60991277,Sapphire,CA
patron,74246796,107073730,74246796,Sapphire,ND
patron,70446438,126994657,70446438,Sapphire,PA
opera,813583105,2024535,96476476,Sapphire,CA
patron,79069432,32251988,79069432,Sapphire,CA
betmgm,597207338,156084949,99149601,Sapphire,IL
patron,97436301,149197151,97436301,Sapphire,NY
patron,80093481,130469406,80093481,Sapphire,CT
patron,73563337,20675328,73563337,Sapphire,MS
customers,00uc7qpf3HYXFB7zv1t5,42389797,61456752,Sapphire,BC
patron,60777640,86401431,60777640,Sapphire,NJ
patron,73937732,108353020,73937732,Sapphire,TX
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlciQLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBiH-MPFHAw,27946657,35160419,Pearl,CA
patron,99473797,158393935,99473797,Sapphire,VA
patron,72477988,96024088,72477988,Sapphire,null
patron,74105058,30756224,74105058,Sapphire,LA
patron,99477280,158394031,99477280,Sapphire,CA
patron,52541506,86788207,52541506,Sapphire,null
patron,59341639,70047062,59341639,Sapphire,WA
patron,71037920,46253273,71037920,Sapphire,null
tcolv_patron,28991,26946222,49052451,Sapphire,CA
patron,98545320,153929476,98545320,Sapphire,CA
patron,80569145,132815121,80569145,Sapphire,null
patron,64526076,54209276,64526076,Sapphire,MO
patron,65308894,97641597,65308894,Sapphire,null
patron,93462672,136185434,93462672,Sapphire,null
patron,65854038,31279239,65854038,Sapphire,TN
patron,98035042,152010572,98035042,Sapphire,null
patron,52522603,122442288,52522603,Sapphire,null
patron,68570566,22963683,68570566,Sapphire,CA
patron,80401138,131804126,80401138,Sapphire,null
patron,65938939,8785042,65938939,Sapphire,LA
opera,903829856,121446443,66141707,Sapphire,MD
patron,89511853,17164983,89511853,Sapphire,OH
opera,33954221,110883484,95037736,Sapphire,CA
patron,58963137,75549028,58963137,Sapphire,null
patron,67661197,92190701,67661197,Sapphire,NM
patron,83377714,60089715,83377714,Pearl,NJ
patron,73929499,66242953,73929499,Sapphire,KY
patron,74284773,66019392,74284773,Sapphire,QC
patron,76200509,104633502,76200509,Sapphire,VA
patron,52266462,125889120,52266462,Sapphire,CA
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlcicLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBiAgKT12fHACww,79094721,61380550,Pearl,CA
patron,76124500,86046964,76124500,Sapphire,null
patron,57735457,100490959,57735457,Sapphire,null
patron,57509731,110072107,57509731,Sapphire,null
patron,90039246,21081952,90039246,Sapphire,NY
patron,84902266,6567043,84902266,Sapphire,CT
patron,98768884,154635441,98768884,Sapphire,TX
opera,278725,3745419,18921340,Sapphire,TX
patron,58341507,102784034,58341507,Sapphire,PA
onetrust,3315DBA7-70DE-45EB-968F-9C6E69765FEA,67768505,1460413,Sapphire,IL
patron,83096123,53457119,83096123,Sapphire,NJ
patron,55099442,73766626,55099442,Sapphire,null
patron,63466288,54810161,63466288,Sapphire,TX
patron,59123505,55243348,59123505,Sapphire,null
patron,73921935,97185478,73921935,Sapphire,AZ
customers,00uc4h2dy8l8FyCs11t7,186216695,79487104,Sapphire,FL
patron,59418564,109785332,59418564,Sapphire,IL
opera,588257142,2818660,61451305,Sapphire,CA
patron,96416635,146209302,96416635,Sapphire,TN
patron,64535788,4032768,64535788,Sapphire,null
opera,354287365,105845960,56441231,Sapphire,CO
patron,47409822,8580786,47409822,Sapphire,NE
patron,53751895,123184932,53751895,Sapphire,null
patron,56661208,49367638,56661208,Sapphire,FL
customers,00ueilrcklVkLukMp1t7,106125809,70487339,Sapphire,MI
patron,41888268,106562559,41888268,Sapphire,CA
patron,70621016,21291532,70621016,Pearl,GA
tcolv_patron,2994730,142217945,95393460,Sapphire,FL
patron,71712524,122772522,71712524,Sapphire,VA
opera,812156951,126362601,82359447,Sapphire,NJ
patron,75920567,29319547,75920567,Sapphire,TX
patron,67304158,39352096,67304158,Sapphire,AZ
betmgm,601303737,138591288,94503993,Sapphire,VA
patron,60208248,127064953,60208248,Sapphire,BC
patron,56835427,124217901,56835427,Sapphire,null
patron,74656972,97025789,74656972,Sapphire,TX
patron,58909433,8096312,58909433,Sapphire,null
opera,311543791,81229845,65376839,Sapphire,NE
